nMC	Rp	Porb	Mp	ecc	inc	Omega	omega	theta	Abond	AgeomVIS	AgeomMIR	zodis	a	rp	ang_sep	ang_sep_max	Finc	f	Tp	nstar	Rs	Ms	Ts	dist	stype	ra	dec	lGal	bGal	WDSsep	name	
Nuniverse	Rp	Porb	Mp	ep	ip	Omegap	omegap	thetap	Abond	AgeomVIS	AgeomMIR	z	ap	rp	AngSep	maxAngSep	Fp	fp	Tp	Nstar	Rs	Ms	Ts	Ds	Stype	RA	Dec	lGal	bGal	WDSsep	name	
0	3.29265	36.54615	48.37585	0.00000	1.32764	3.11960	1.53542	1.09941	0.32350	0.00688	0.08436	3.48551	0.13931	0.13931	0.00988	0.01120	0.38289	0.11879	198.55802	20	0.30000	0.27000	3094.00000	12.44000	M	283.41631	-38.61235	357.69515	-16.93665	inf	L489-58
0	1.08829	119.34429	1.42320	0.00000	1.32764	5.62614	1.70074	1.20614	0.78388	0.23241	0.06526	3.48551	0.30664	0.30664	0.02401	0.02465	0.07903	0.21359	100.61751	20	0.30000	0.27000	3094.00000	12.44000	M	283.41631	-38.61235	357.69515	-16.93665	inf	L489-58
0	1.74975	233.86127	5.48009	0.00000	1.32764	4.07567	0.44443	1.19645	0.34155	0.57963	0.09941	3.48551	0.48017	0.48017	0.00966	0.03860	0.03223	0.00170	106.22975	20	0.30000	0.27000	3094.00000	12.44000	M	283.41631	-38.61235	357.69515	-16.93665	inf	L489-58
0	1.41094	406.64853	1.61182	0.00000	1.32764	1.20940	4.23534	4.38985	0.07207	0.45491	0.04993	3.48551	0.69434	0.69434	0.04008	0.05582	0.01541	0.05111	96.25139	20	0.30000	0.27000	3094.00000	12.44000	M	283.41631	-38.61235	357.69515	-16.93665	inf	L489-58
0	3.37771	6.45091	7.79694	0.00000	2.92235	1.04738	1.20551	2.34439	0.75415	0.25971	0.00019	2.16712	0.03858	0.03858	0.00194	0.00194	1.46284	0.36268	215.53619	21	0.17134	0.18400	3012.01270	19.86000	M	350.99970	28.56766	100.63045	-30.48972	inf	LP346-21
0	1.68467	30.57161	3.85169	0.00000	2.92235	3.67214	3.07221	4.71205	0.44287	0.46033	0.02006	2.16712	0.10884	0.10884	0.00535	0.00548	0.18377	0.21735	157.43789	21	0.17134	0.18400	3012.01270	19.86000	M	350.99970	28.56766	100.63045	-30.48972	inf	LP346-21
0	0.54732	76.99768	0.07801	0.00000	2.92235	4.85376	4.14891	0.71522	0.62567	0.12861	0.03360	2.16712	0.20148	0.20148	0.00991	0.01014	0.05363	0.43319	104.76485	21	0.17134	0.18400	3012.01270	19.86000	M	350.99970	28.56766	100.63045	-30.48972	inf	LP346-21
0	0.64852	208.30797	0.42737	0.00000	1.15600	5.02963	4.28835	3.17658	0.58712	0.39142	0.07373	0.78461	0.53474	0.53474	0.03728	0.07008	0.20322	0.01814	149.79748	22	0.61386	0.47000	3617.00000	7.63000	M	202.49911	10.37716	333.23094	70.94492	inf	BD+112576
0	7.11787	430.86339	32.61944	0.00000	1.15600	2.09525	2.21360	3.78809	0.38505	0.05781	0.02640	0.78461	0.86809	0.86809	0.11003	0.11377	0.07711	0.45577	129.88098	22	0.61386	0.47000	3617.00000	7.63000	M	202.49911	10.37716	333.23094	70.94492	inf	BD+112576
0	0.63299	277.36447	0.13377	0.00000	0.37908	2.08649	5.27662	0.93757	0.77274	0.18563	0.08876	148.51588	0.81542	0.81542	0.06353	0.06356	0.65431	0.33117	172.83391	23	0.76546	0.94000	5357.89697	12.83000	G	34.74377	-25.94569	214.45451	-70.41021	inf	HD14412
